date,open,high,low,close,volume,marketcap,google_trends,wiki_page_views,twitter_followers_growth,gold_pm,silver,platinum_pm,palladium_pm,oil_price,usd_eur,usd_jpy,usd_gbp,usd_cny,SP500,Dow_Jones,Nasdaq,Russell,FTSE,Nikkei,SSE,VIX,NVIDIA,Google,hash_rate,miners_revenue,avg_block_size,difficulty,est_transc_volume,num_unique_address,BECI
10/5/18,9325.96,9396.04,9040.52,9043.94,6906699776,1.59E+11,7,16700,755,1318.8,16.6,923,991,71.36,1.187800169,0.009098353,1.356599927,0.15708451,2723.070068,24739.5293,7404.970215,1603.709961,7701,22497.17969,3174.413086,13.22999954,259.9692383,1097.569946,31990023.54,18644083.33,0.732925588,4.02E+12,129829.2287,459142,66.00318806
9/5/18,9223.73,9374.76,9031.62,9325.18,7226890240,1.57E+11,7,16114,839,1313.85,16.44,913,976,71.16,1.187900066,0.00913242,1.356449962,0.15673244,2697.790039,24542.53906,7339.910156,1596.050049,7662.5,22408.88086,3159.149902,13.42000008,255.6219177,1082.76001,27791332.95,16034706.98,0.915397129,4.02E+12,141050.9634,480689,65.81848539
8/5/18,9380.87,9462.75,9127.77,9234.82,7415869952,1.60E+11,8,18612,802,1306.6,16.445,911,971,68.83,1.187000036,0.009181893,1.351449966,0.157045037,2671.919922,24360.21094,7266.899902,1586.390015,7565.799805,22508.68945,3161.498047,14.71000004,250.2452393,1053.910034,29990647.07,17532514.44,0.867701387,4.02E+12,138275.8718,450523,65.63444961
7/5/18,9645.67,9665.85,9231.53,9373.01,7394019840,1.64E+11,8,16273,645,1309.4,16.415,901,963,70.74,1.19020009,0.009179365,1.353149891,0.157121539,2672.629883,24357.32031,7265.209961,1578.949951,7567.100098,22467.16016,3136.64502,14.75,248.5262909,1054.790039,27391457.65,16501238.51,0.758401058,4.02E+12,102606.5621,386314,65.44964701
6/5/18,9845.31,9940.14,9465.25,9654.8,7222280192,1.68E+11,7,13003,101,1309.4,16.415,901,963,69.71,1.19690001,0.00910498,1.356850028,0.157381177,2663.419922,24262.50977,7209.620117,1565.599976,7567.100098,22472.7793,3091.032959,14.77000046,238.9122467,1048.209961,32189961.18,19738957.97,0.72648936,4.02E+12,104405.4154,450117,65.26042551
5/5/18,9700.28,9964.5,9695.12,9858.15,7651939840,1.65E+11,8,12000,-113,1309.4,16.415,901,963,69.71,1.19690001,0.00910498,1.356850028,0.157381177,2663.419922,24262.50977,7209.620117,1565.599976,7567.100098,22472.7793,3091.032959,14.77000046,238.9122467,1048.209961,27591395.3,16751009.25,0.973819029,4.02E+12,145335.1974,513487,64.93872257
4/5/18,9695.5,9779.2,9585.96,9700.76,8217829888,1.65E+11,8,13967,463,1309.4,16.415,901,963,69.71,1.19690001,0.00910498,1.356850028,0.157381177,2663.419922,24262.50977,7209.620117,1565.599976,7567.100098,22472.7793,3091.032959,14.77000046,238.9122467,1048.209961,30190584.71,18194118.98,0.867924702,4.02E+12,137704.2393,501839,64.73979869
3/5/18,9233.97,9798.33,9188.15,9743.86,10207299584,1.57E+11,8,12766,529,1315.05,16.465,902,971,68.45,1.199200153,0.00910498,1.358500004,0.157329172,2629.72998,23930.15039,7088.149902,1546.560059,7502.700195,22472.7793,3100.858887,15.89999962,232.8460083,1023.719971,27991270.6,16155938.35,0.877978136,4.02E+12,148326.6287,468950,64.54465865
2/5/18,9104.6,9256.52,9015.14,9235.92,7558159872,1.55E+11,7,13918,392,1304.2,16.35,897,968,67.91,1.200700045,0.00910498,1.365350127,0.157210454,2635.669922,23924.98047,7100.899902,1554.910034,7543.200195,22472.7793,3081.177002,15.97000027,226.1701355,1024.380005,31590148.24,17923394.92,0.673271551,4.02E+12,94229.71878,490968,64.35515692
1/5/18,9251.47,9255.88,8891.05,9119.01,7713019904,1.57E+11,8,13367,382,1307.1,16.25,899,952,67.28,1.207899928,0.00914913,1.369449973,0.157711297,2654.800049,24099.05078,7130.700195,1550.329956,7520.399902,22508.0293,3082.231934,15.48999977,226.9996185,1037.310059,30990335.3,17940416.88,0.748396935,4.02E+12,111808.7112,480942,64.17224948
